goal,shot_statsbomb_xg,minute,second,possession,play_pattern,possession_team,team,player,shot_body_part,shot_technique,shot_type,under_pressure,off_camera,shot_outcome,x,y,competition
0,0.025154753,14,25,34,0,1,1,3,2,0,0,,,0,95.2,40.9,Indian Super league 2021/2022
0,0.03178772,19,58,45,0,1,1,6,2,2,0,,,3,116.1,29.7,Indian Super league 2021/2022
0,0.01433577,20,5,45,0,1,1,11,1,0,0,,,0,87.7,47.2,Indian Super league 2021/2022
1,0.7835,24,58,55,5,1,1,9,2,2,1,,,1,108.0,40.0,Indian Super league 2021/2022
0,0.039724816,26,49,58,6,0,0,4,1,2,0,,,0,106.0,27.4,Indian Super league 2021/2022
0,0.030065268,27,23,59,0,0,0,2,0,2,0,,,2,116.7,50.7,Indian Super league 2021/2022
0,0.05344201,41,22,89,2,0,0,13,1,2,0,,,3,111.8,24.8,Indian Super league 2021/2022
0,0.05516974,43,56,97,6,1,1,6,1,2,0,True,,0,104.8,36.0,Indian Super league 2021/2022
0,0.015405888,44,51,98,0,1,1,3,2,2,0,,,3,85.5,37.8,Indian Super league 2021/2022
1,0.5927845,48,3,117,2,0,0,1,1,0,0,,,1,117.8,36.4,Indian Super league 2021/2022
0,0.07696679,50,57,122,0,1,1,12,2,0,0,,,2,108.2,41.3,Indian Super league 2021/2022
0,0.88956636,56,34,140,6,1,1,9,1,2,0,,,2,116.0,40.3,Indian Super league 2021/2022
0,0.07331542,57,31,141,3,0,0,10,1,2,0,True,,3,114.1,47.0,Indian Super league 2021/2022
0,0.034704965,60,8,147,4,0,0,8,1,2,0,,,0,99.5,33.9,Indian Super league 2021/2022
1,0.7835,62,47,151,5,0,0,1,1,2,1,,,1,107.9,40.0,Indian Super league 2021/2022
0,0.06138856,71,33,167,1,1,1,6,2,0,0,,,3,99.5,49.9,Indian Super league 2021/2022
0,0.2221011,74,4,175,2,0,0,1,1,0,0,,,2,116.6,34.7,Indian Super league 2021/2022
1,0.015569849,78,6,179,4,0,0,0,2,2,0,True,,1,107.7,21.3,Indian Super league 2021/2022
1,0.33970562,81,51,187,6,0,0,1,1,2,0,,,1,110.8,41.9,Indian Super league 2021/2022
0,0.02120051,83,25,190,4,0,0,7,1,0,0,True,,2,114.5,25.8,Indian Super league 2021/2022
0,0.005959874,84,26,192,6,0,0,8,1,2,0,,,2,79.6,42.2,Indian Super league 2021/2022
1,0.425134,87,29,198,2,1,1,14,1,2,0,,,1,109.1,32.7,Indian Super league 2021/2022
1,0.053343583,89,8,200,4,1,1,15,2,2,0,,,1,107.4,55.9,Indian Super league 2021/2022
0,0.40980023,92,14,205,2,1,1,15,2,1,0,,,3,107.9,41.5,Indian Super league 2021/2022
0,0.10802183,94,6,208,6,0,0,0,2,2,0,,,3,115.6,27.9,Indian Super league 2021/2022
0,0.035885528,94,33,209,4,0,0,5,2,2,0,,,2,98.5,26.2,Indian Super league 2021/2022
0,0.010039352,0,21,3,0,0,0,1,1,2,1,,,0,103.4,59.6,Indian Super league 2021/2022
0,0.01546377,0,23,3,0,0,0,11,2,4,1,,,0,113.3,55.6,Indian Super league 2021/2022
0,0.0148209715,3,18,8,0,0,0,9,1,1,1,,,6,86.8,36.9,Indian Super league 2021/2022
0,0.050343554,8,57,18,1,0,0,0,2,3,1,True,,2,101.6,43.0,Indian Super league 2021/2022
0,0.042716842,11,38,25,4,0,0,7,2,2,1,,,2,96.5,44.9,Indian Super league 2021/2022
0,0.07134074,18,25,37,4,0,0,1,1,2,1,,,4,99.8,44.1,Indian Super league 2021/2022
0,0.011209957,22,35,45,1,0,0,1,1,2,0,,,5,83.7,37.4,Indian Super league 2021/2022
1,0.4974484,22,37,45,1,0,0,0,0,0,1,,,1,113.3,39.1,Indian Super league 2021/2022
1,0.2509017,25,40,51,1,1,0,0,1,2,1,,,1,102.8,39.8,Indian Super league 2021/2022
